sentence	part	category
הוואקף המוסלמי פגע בחודש האחרון בשרידים מתקופת בית שני על הר הבית בירושלים 	 הר הבית 	14.0
"כתבנו קובי סלע פירט את האופן שבו יוסדרו ערוצי הרדיו של ש""ס "	 ערוצי הרדיו 	16.0
הרעיון החדש הוא שמועצה חדשה של רשות רדיו , שתהיה כפופה למשרד הדתות , היא שתקים את תחנות הרדיו האלה 	 משרד הדתות 	16.0
"הרב יוסף צבי בן פורת , המתאם את הסדרת הערוצים החדשים , אמר כי מדובר במועצת כבלים , שתפרסם מכרזים על שידורים שיעסקו בתכנים של דת ומסורת ישראל , וגופים שונים יוכלו לגשת למכרזים עפ""י קריטריונים שהמועצה תכתוב "	 מועצת הכבלים 	16.0
"לדעתה , מאחר שממילא חיילים דתיים אינם נשבעים על ספרי התנ""ך , אלא מצהירים אמונים , הצעתה היא שבמהלך טקסי השבעה יחלקו את מגילת העצמאות , שמקובלת לדבריה על כולם , בלא קשר לאמונה דתית "	 מגילת העצמאות 	18.0
"סגן יו""ר הוועדה לסחר חוץ בהתאחדות התעשיינים צבי פלדה הסביר ביומן ערוץ 7 שמאז הטלת החרם הפלשתיני על ישראל נפגע ממנו המשק הישראלי בהיקף של 500 מיליון שקלים "	" יו""ר הוועדה "	9.0
כדי ליישר את ההדורים הציעה שרת הקליטה היוצאת יולי תמיר לשנות את הנהלים של טקסי ההשבעה 	 טקסי ההשבעה 	16.0
נוסף על כך, אמר פלדה , יש בחרם זה הפרה בוטה של ההסכם הכלכלי שנחתם בפאריז עם הרשות , הסכם שבו היא קיבלה עליה, כנלווה להסכם אוסלו , להימנע מהטלת חרם ונידוי כלכלי על ישראל 	 הסכם אוסלו 	14.0
יתרה מזאת , אמר פלדה , הרשות גם מעמידה לדין סוחרים פלשתיניים שמפיצים תוצרת ישראל 	 תוצרת ישראל 	16.0
כתבנו אפי מאיר דיווח כי השופטים אמנם דחו את בקשתם להוציא צו ביניים שימנע לפי שעה את כניסת החוק לתוקפו , אך הם המליצו לוועדת השחרורים לשקול שנית את הטיפול באסירים המועמדים לשחרור בגין החוק , עד שייקבעו קריטריונים ליישום החוק החדש 	 וועדת השחרורים 	16.0
"כתבנו מדווח שבמהלך הדיון "" שלף "" עו""ד שרגא "" שפן מכובעו "" , והפתיע גם את הפרקליטות בחושפו את המידע שהאסירים כבר משתחררים , אף על פי שחוק דרעי קובע כי השחרור אחרי ריצוי חצי מתקופת המאסר ייעשה רק על פי קריטריונים חדשים שאמורים להיקבע בחוק , והקריטריונים הללו טרם נקבעו "	 תקופת המאסר 	18.0
"ועדת העלייה והקליטה של הכנסת קיימה דיון על התבטאויותיו של קצין החינוך הראשי של צה""ל אלעזר שטרן בעניין החיילים הלא יהודים בצה""ל "	 קצין החינוך 	18.0
"אמש החלה בערוץ הראשון הקרנת סדרה על יהדות פולין בשם "" פו - ל - ניה "" "	 יהדות פולין 	16.0
את הסדרה הכין איש הטלוויזיה דוד ויצטום 	 איש הטלוויזיה 	18.0
לדבריו , ביהדות זו נעוצים שורשי החסידות , הקבלה וההלכה במובנם האירופי , וגם שורשן של תנועות ההשכלה והתנועות הסוציאליסטיות 	 תנועת ההשכלה 	18.0
כולן צמחו על אדמת פולין 	 אדמת פולין 	16.0
בסדרה , מספר ויצטום , אפשר להבחין באינטראקציה המפרה שנהוותה בין היהודים לפולנים בכל התחומים 	 מספר ויצטום 	15.0
בענף התיירות בגליל העליון נמשכת התאוששות 	 ענף התיירות 	15.0
בענף התיירות בגליל העליון נמשכת התאוששות 	 גליל העליון 	8.0
"מעמותת התיירות בגליל העליון נמסר לכתב עתי""ם שלמה חדד על תפוסה של 95 % ויותר בסופי שבוע ברוב בתי המלון וחדרי האירוח בגליל העליון "	 חדרי אירוח 	16.0
בצומת משמר הנגב נהרגו שבעה בדואים כתוצאה מהתנגשות חזיתית , כאשר מכונית יצאה לעקוף שיירת משאיות 	 שיירת משאיות 	4.0
עדי ראייה לאירוע סיפרו שהנער חייך וצחק כשירה בחבריו 	 עדי ראייה 	12.0
נציבות המים תמליץ לממשלה החדשה לאסור השקיית מדשאות וגינות במגזר הציבורי והפרטי בשלוש השנים הקרובות 	 נציבות המים 	18.0
נציבות המים תמליץ לממשלה החדשה לאסור השקיית מדשאות וגינות במגזר הציבורי והפרטי בשלוש השנים הקרובות 	 שלוש השנים 	20.0
כמו כן מציעים בנציבות המים לשקול את הורדת הקו האדום התחתון בכינרת ב - 30 סנטימטרים , ואת מפלס המים באקוויפר ההר ב - 20 סנטימטרים נוספים , ולבצע שאיבת יתר של 150 מיליון מטר מעוקב מים מדי שנה באקוויפר החוף 	 מפלס המים 	18.0
כמו כן מציעים בנציבות המים לשקול את הורדת הקו האדום התחתון בכינרת ב - 30 סנטימטרים , ואת מפלס המים באקוויפר ההר ב - 20 סנטימטרים נוספים , ולבצע שאיבת יתר של 150 מיליון מטר מעוקב מים מדי שנה באקוויפר החוף 	 אקוויפר ההר 	16.0
כמו כן מציעים בנציבות המים לשקול את הורדת הקו האדום התחתון בכינרת ב - 30 סנטימטרים , ואת מפלס המים באקוויפר ההר ב - 20 סנטימטרים נוספים , ולבצע שאיבת יתר של 150 מיליון מטר מעוקב מים מדי שנה באקוויפר החוף 	 אקוויפר החוף 	16.0
התוכנית גובשה עקב נתונים שנאספו בנציבות המים , ולפיהם עקב מיעוט המשקעים שירדו עד כה בחורף נוצר במשק המים בארץ מחסור של 390 מיליון קוב מים 	 מיעוט משקעים 	20.0
עיקר הבעיה מצוי באגן ההיקוות של הכינרת 	 עיקר הבעיה 	20.0
"דיק צ'ייני , סגן נשיא ארה""ב חש אתמול בלבו והובהל לבית חולים "	 סגן הנשיא 	9.0
צ'ייני כבר עבר ארבעה התקפי לב 	 התקף הלב 	12.0
"ביום חמישי בשעות הצהרים יחל בעז""ה לרדת גשם בצפון הארץ ובמרכזה "	 שעות הצהרים 	17.0
"ביום חמישי בשעות הצהרים יחל בעז""ה לרדת גשם בצפון הארץ ובמרכזה "	 צפון הארץ 	10.0
ביום שישי יירד גשם לפרקים עד הערב , במרכז הארץ ובדרומה 	 מרכז הארץ 	10.0
"סיעת מפד""ל הודיעה לראש הממשלה הנבחר אריאל שרון כי היא אינה מצטרפת לממשלתו , זאת לאחר שתיק השיכון , שהובטח להם , ניתן לח""כ שרנסקי ממפלגת ישראל בעליה "	 ראש הממשלה 	9.0
"סיעת מפד""ל הודיעה לראש הממשלה הנבחר אריאל שרון כי היא אינה מצטרפת לממשלתו , זאת לאחר שתיק השיכון , שהובטח להם , ניתן לח""כ שרנסקי ממפלגת ישראל בעליה "	 תיק השיכון 	18.0
וויליאמס נעצר והוא יואשם הבוקר ברצח , תקיפה ואחזקת נשק 	 אחזקת נשק 	18.0
סוכנות 'קול רינה ' מדווח על זריקת בקבוקי תבעירה ויידוי אבנים בצומת אל חאדר 	 בקבוק תבערה 	16.0
סוכנות 'קול רינה ' מדווח על זריקת בקבוקי תבעירה ויידוי אבנים בצומת אל חאדר 	 צומת אל חאדר 	14.0
"אלוף פיקוד הדרום , דורון אלמוג , אומר שצה""ל מתנגד לוותר אפילו על סנטימטר בחבל עזה , כל עוד נמשך העימות עם הפלשתינים ואין עימם הסכם "	 פיקוד הדרום 	16.0
"אלוף פיקוד הדרום , דורון אלמוג , אומר שצה""ל מתנגד לוותר אפילו על סנטימטר בחבל עזה , כל עוד נמשך העימות עם הפלשתינים ואין עימם הסכם "	 חבל עזה 	16.0
בכביש ירושלים גוש עציון הושלכו שני בקבוקי תבערה על רכב יהודי 	 כביש ירושלים 	16.0
הנהג בלם את הרכב ונתקע בגדר בצד הכביש 	 צד הכביש 	10.0
"חבר הכנסת צבי הנדל מהאיחוד הלאומי עושה מאמץ של הרגע האחרון לתווך בין המפד""ל לליכוד "	 חבר הכנסת 	10.0
"בכירים בסיעת המפד""ל אמרו הבוקר כי הרב יצחק לוי שוקל להתפטר מתפקידו כיו""ר המפלגה עקב כישלון המו""מ עם שרון ומפלגת הליכוד "	" סיעת המפד""ל "	14.0
"בכירים בסיעת המפד""ל אמרו הבוקר כי הרב יצחק לוי שוקל להתפטר מתפקידו כיו""ר המפלגה עקב כישלון המו""מ עם שרון ומפלגת הליכוד "	" יו""ר המפלגה "	9.0
"בכירים בסיעת המפד""ל אמרו הבוקר כי הרב יצחק לוי שוקל להתפטר מתפקידו כיו""ר המפלגה עקב כישלון המו""מ עם שרון ומפלגת הליכוד "	" כישלון המו""מ "	12.0
"ההסכם קובע שח""כ אביגדור ליברמן יכהן כשר התשתיות וח""כ רחבעם זאבי יכהן כשר התיירות "	 שר התשתיות 	18.0
"ההסכם קובע שח""כ אביגדור ליברמן יכהן כשר התשתיות וח""כ רחבעם זאבי יכהן כשר התיירות "	 שר התיירות 	18.0
"בהצבעת וועדת הכנסת הוחלט בצהרים להסיר את חסינותו של ח""כ אביגדור ליברמן , שמתעתד לכהן כשר התשתיות בממשלת האחדות שתושבע מחר "	 ממשלת האחדות 	12.0
חסינותו הוסרה בעקבות בקשה להגיש נגדו כתב אישום בחשד שתקף קטינים ואיים עליהם , בתקרית שהתרחשה ביישוב נוקדים בסוף 99 	 כתב האישום 	12.0
ועדת החוקה של הכנסת אישרה לפני שעה קלה , את החוק לביטול הבחירה הישירה לראשות הממשלה 	 ועדת החוקה 	18.0
בשנת אלפיים נרשמה עלייה של כמעט חמישה אחוזים במספר כלי הרכב בישראל 	 כלי הרכב 	12.0
מנתוני האגף לשירותי מידע במשרד התחבורה עולה שכעת רשומים בישראל מליון ו - 900 אלף כלי רכב 	 נתוני האגף 	9.0
מנתוני האגף לשירותי מידע במשרד התחבורה עולה שכעת רשומים בישראל מליון ו - 900 אלף כלי רכב 	 שירותי מידע 	16.0
מנתוני האגף לשירותי מידע במשרד התחבורה עולה שכעת רשומים בישראל מליון ו - 900 אלף כלי רכב 	 משרד התחבורה 	16.0
מנתוני האגף לשירותי מידע במשרד התחבורה עולה שכעת רשומים בישראל מליון ו - 900 אלף כלי תחבורה 	 כלי תחבורה 	12.0
הפעילות בשדות התעופה באילת , בשדה דב , בהרצליה ובמחניים מושבתת 	 שדה תעופה 	12.0
העובדים מונעים המראות מטוסים , אך מאפשרים נחיתות 	 המראות מטוסים 	18.0
עובדי הרשות מוחים על כך שלטענתם הנהלת רשות שדות התעופה מפרה שורה של סעיפים בהסכמי השכר שנחתמו זה מכבר 	 עובדי הרשות 	9.0
עובדי הרשות מוחים על כך שלטענתם הנהלת רשות שדות התעופה מפרה שורה של סעיפים בהסכמי השכר שנחתמו זה מכבר 	 הסכמי שכר 	16.0
עובדי הרשות מוחים על כך שלטענתם הנהלת רשות שדות התעופה מפרה שורה של סעיפים בהסכמי השכר שנחתמו זה מכבר 	 הנהלת הרשות 	9.0
בנחל קטלב שבאזור ירושלים נפלה ילדה בת 11 , במהלך טיול , מצוק בגובה של כ 20 מטרים 	 נחל קטלב 	14.0
מסוק של חיל האוויר הוזעק בכדי לחלצה 	 חיל האוויר 	12.0
"עוד הובטח לסיעה בין היתר שיהיו הסדרי שידורי רדיו יחודיים לעובדים ולגימלאים וכן בתוך ארבעה חודשים תגיע הממשלה למדיניות מוסכמת ומתואמת עם יו""ר הסיעה ח""כ עמיר פרץ בעניין העלאת שכר המינימום לאלף דולר , חקיקת חוק פנסיה לכל אזרחי המדינה , הכרה בהוצאות על מטפלות ובמעונות יום ופטור לגימלאים על תשלום תרופות "	 שידורי רדיו 	12.0
"עוד הובטח לסיעה בין היתר שיהיו הסדרי שידורי רדיו יחודיים לעובדים ולגימלאים וכן בתוך ארבעה חודשים תגיע הממשלה למדיניות מוסכמת ומתואמת עם יו""ר הסיעה ח""כ עמיר פרץ בעניין העלאת שכר המינימום לאלף דולר , חקיקת חוק פנסיה לכל אזרחי המדינה , הכרה בהוצאות על מטפלות ובמעונות יום ופטור לגימלאים על תשלום תרופות "	 שכר המינימום 	12.0
"עוד הובטח לסיעה בין היתר שיהיו הסדרי שידורי רדיו יחודיים לעובדים ולגימלאים וכן בתוך ארבעה חודשים תגיע הממשלה למדיניות מוסכמת ומתואמת עם יו""ר הסיעה ח""כ עמיר פרץ בעניין העלאת שכר המינימום לאלף דולר , חקיקת חוק פנסיה לכל אזרחי המדינה , הכרה בהוצאות על מטפלות ובמעונות יום ופטור לגימלאים על תשלום תרופות "	 חוק הפנסיה 	18.0
"עוד הובטח לסיעה בין היתר שיהיו הסדרי שידורי רדיו יחודיים לעובדים ולגימלאים וכן בתוך ארבעה חודשים תגיע הממשלה למדיניות מוסכמת ומתואמת עם יו""ר הסיעה ח""כ עמיר פרץ בעניין העלאת שכר המינימום לאלף דולר , חקיקת חוק פנסיה לכל אזרחי המדינה , הכרה בהוצאות על מטפלות ובמעונות יום ופטור לגימלאים על תשלום תרופות "	 אזרחי המדינה 	9.0
"ח""כ פרץ ברך על חתימת ההסכם ואמר , כי הוא מקווה שבתוך ארבעה חודשים "" נוכל לבשר בשורה גדולה לציבור העובדים והגימלאים על השלמת חקיקת מיכלול חוקים חשובים שיקלו את החיים של העובדים והגימלאים "" "	 ציבור העובדים 	4.0
"ח""כ פרץ ברך על חתימת ההסכם ואמר , כי הוא מקווה שבתוך ארבעה חודשים "" נוכל לבשר בשורה גדולה לציבור העובדים והגימלאים על השלמת חקיקת מיכלול חוקים חשובים שיקלו את החיים של העובדים והגימלאים "" "	 מיכלול החוקים 	7.0
כתבנו חגי הוברמן מוסר , כי חיילי צהל השיבו אש לעבר מקורו כתבנו חגי הוברמן מוסר , כי חיילי צהל השיבו אש לעבר מקורות הירי 	" חיילי צה""ל "	9.0
כתבנו חגי הוברמן מוסר , כי חיילי צהל השיבו אש לעבר מקורות הירי 	 מקורות הירי 	18.0
תרופה לטיפול בחולי טרשת נפוצה , שפותחה במכון ויצמן למדע , עשוייה לשמש גם לבלימת תהליך התעוורות של חולי גלאוקומה כרונית , מחלה שממנה סובל אחוז אחד מאוכלוסיית הקשישים 	 חולי טרשת 	2.0
תרופה לטיפול בחולי טרשת נפוצה , שפותחה במכון ויצמן למדע , עשוייה לשמש גם לבלימת תהליך התעוורות של חולי גלאוקומה כרונית , מחלה שממנה סובל אחוז אחד מאוכלוסיית הקשישים 	 מכון ויצמן 	14.0
תרופה לטיפול בחולי טרשת נפוצה , שפותחה במכון ויצמן למדע , עשוייה לשמש גם לבלימת תהליך התעוורות של חולי גלאוקומה כרונית , מחלה שממנה סובל אחוז אחד מאוכלוסיית הקשישים 	 אוכלוסיית הקשישים 	4.0
"כתבת עתי""ם מוסרת , שההסכמים עם כל הסיעות אמורים להיות מונחות בשעה זו על שולחן הכנסת "	 שולחן הכנסת 	9.0
"ראש אמ""ן , האלוף עמוס מלכא , אמר היום בישיבת ועדת החוץ והביטחון של הכנסת כי בתקופה הקרובה צפויה עליה ברמת האלימות הפלשתינית "	" ראש אמ""ן "	9.0
""" הרשות הפלשתינית רוצה לאתגר את הממשלה החדשה "" אומר מלכא "" ולגרום לסכסוך להפוך להיות בינלאומי "" "	 הרשות הפלסטינית 	14.0
מלכא אמר עוד כי הרשות הפלשתינית וערפאת נותנים את ברכת הדרך שלהם לפעולות טרור של כל הארגונים הקיימים ויתרה מכך , הארגונים פועלים תחת חסותה של הרשות 	 ברכת הדרך 	16.0
מלכא אמר עוד כי הרשות הפלשתינית וערפאת נותנים את ברכת הדרך שלהם לפעולות טרור של כל הארגונים הקיימים ויתרה מכך , הארגונים פועלים תחת חסותה של הרשות 	 פעולות הטרור 	16.0
שר החוץ שלמה בן - עמי נפרד היום מעובדי משרד החוץ , ובכך פתח את שרשרת חילופי השרים שיתקיימו בימים הקרובים עם הקמתה של ממשלת האחדות הלאומית 	 שר החוץ 	18.0
שר החוץ שלמה בן - עמי נפרד היום מעובדי משרד החוץ , ובכך פתח את שרשרת חילופי השרים שיתקיימו בימים הקרובים עם הקמתה של ממשלת האחדות הלאומית 	 עןבדח משרד החוץ 	9.0
שר החוץ שלמה בן - עמי נפרד היום מעובדי משרד החוץ , ובכך פתח את שרשרת חילופי השרים שיתקיימו בימים הקרובים עם הקמתה של ממשלת האחדות הלאומית 	 שרשרת חילופים 	4.0
"במסיבת פרידה שערכו לו ראשי המשרד , אמר סנה , כי "" מצפה למשרד הביטחון ולשר בנימין בן - אליעזר , שיעמוד בראשו , תקופה קשה ומסובכת "" "	 מסיבת פרידה 	16.0
עוד אמר סנה , כי במהלך 20 החודשים בהם שירת כסגן שר הביטחון אירעו מספר אירועים קשים , האינתיפאדה , סיום המלחמה בלבנון והקמת הקו החדש בגבול הלבנוני 	 סיום המלחמה 	18.0
עוד אמר סנה , כי במהלך 20 החודשים בהם שירת כסגן שר הביטחון אירעו מספר אירועים קשים , האינתיפאדה , סיום המלחמה בלבנון והקמת הקו החדש בגבול הלבנוני 	 מספר אירועים 	20.0
הוא ציין את הגידול של 10 % בייצוא הבטחוני כהישג גדול של המשרד 	 ייצוא בטחוני 	16.0
"חוליות עז א - דין אל קסאם , הזרוע הצבאית של החמאס , קיבלו על עצמן ביום שלישי את האחריות לפיגוע ההתאבדות בנתניה בו נהרגו שלושה אזרחים ישראלים , ואיימו ב "" מתקפות כואבות נוספות "" "	 חוליות עז א- דין אל קאסם 	14.0
"חוליות עז א - דין אל קסאם , הזרוע הצבאית של החמאס , קיבלו על עצמן ביום שלישי את האחריות לפיגוע ההתאבדות בנתניה בו נהרגו שלושה אזרחים ישראלים , ואיימו ב "" מתקפות כואבות נוספות "" "	 פיגוע התאבדות 	12.0
"חוליות עז א - דין אל קסאם , הזרוע הצבאית של החמאס , קיבלו על עצמן ביום שלישי את האחריות לפיגוע ההתאבדות בנתניה בו נהרגו שלושה אזרחים ישראלים , ואיימו ב "" מתקפות כואבות נוספות "" "	 סוכנות הידיעות 	18.0
"אליאן , שהיה מואזין במסגד , "" הצליח לעבור את מחסומי הביטחון של האויב כאשר ברשותו מטען חומר נפץ במשקל קילוגרמים "" "	 מחסומי הביטחון 	16.0
"אליאן , שהיה מואזין במסגד , "" הצליח לעבור את מחסומי הביטחון של האויב כאשר ברשותו מטען חומר נפץ במשקל קילוגרמים "" "	 חומר הנפץ 	1.0
"ראש הממשלה הנבחר אריאל שרון , שהשתתף היום בטקס י""א באדר ברחבת האריה השואג בתל - חי , אמר כי "" גם היום , 81 שנים אחרי מותו של יוסף טרומפלדור , המאבק לא הסתיים "	 רחבת האריה השואג 	13.0
"יוסף טרומפלדור העביר מסר לדורות הבאים אחריו ואנו נמשיך במורשת הגבורה עם חיפוש מתמיד של הדרך לשלום "" "	 מורשת הגבורה 	19.0
"יוסף טרומפלדור העביר מסר לדורות הבאים אחריו ואנו נמשיך במורשת הגבורה עם חיפוש מתמיד של הדרך לשלום "" "	 דרך השלום 	16.0
"כתב עתי""ם מוסר , כי בטקס ברחבת האריה השואג השתתף אלוף פיקוד צפון גבי אשכנזי , מפקד המחוז הצפוני ניצב אליק רון , ראשי ערים ומועצות ותלמידי בתי הספר מכל אזור הגליל "	 מפקד המחוז 	16.0
"כתב עתי""ם מוסר , כי בטקס ברחבת האריה השואג השתתף אלוף פיקוד צפון גבי אשכנזי , מפקד המחוז הצפוני ניצב אליק רון , ראשי ערים ומועצות ותלמידי בתי הספר מכל אזור הגליל "	 פיקוד הצפון 	16.0
"במצודה בריה בצפת התקיים השנה טקס נוסף לציון "" יום טרומפלדור "" "	 מצודת ביריה 	16.0
"ח""כ דרוקמן אמר את הדברים בכינוס מרכז המפד""ל הערב לאחר כישלון ניסיון של צוות המשא ומתן של הליכוד להציע למפד""ל תפקידים על מנת שיוכלו להצטרף לממשלת האחדות "	 צוות המשא ומתן 	16.0
"ח""כ הרב יצחק לוי הציג בפני חברי המרכז את הליך המו""מ מול צוות המשא ומתן של הליכוד וטען כי הוזמן למו""מ כשבכוונת הנושאים ונותנים שלא להציע לו דבר "	" הליך המו""מ "	12.0
""" המפד""ל תרמה תרומה עיקרית לתיק התשתיות שלו "" , אמר דרוקמן והוסיף כי "" לא יתכן שענייני הדת במדינה ייוצגו רק על - ידי מפלגה לא - ציונית "" "	 ענייני דת 	18.0
""" אין בטחון במדינה ואין בטחון במנהיגי המדינה "" , כך אמרו היום בצהריים בני משפחת קנאפ , שבנם קלוד נרצח בפיגוע בצומת מי - עמי , לנשיא המדינה משה קצב "	 מנהיגי המדינה 	9.0
""" צריך לשכנע את כל מנהיגי המדינה שדרך הוויתורים לא תוביל אותנו לשלום "" , אמר קנאפ "	 דרך הוויתורים 	12.0
""" המצב הנוכחי לא יכול להימשך ואני מאמין שראש הממשלה הנבחר ושר הבטחון יעשו הכל להחזיר את הבטחון לתושבי המדינה "" "	 תושבי המדינה 	9.0
המנהיג הרוחני של ארגון החמאס , שייח ' אחמד יאסין , קרא היום לוועידת הפסגה הערבית , האמורה להתקיים בסוף מרץ בעמאן , לספק נשק לפלשתינים 	 וועידת הפיסגה 	12.0
""" הערבים והמוסלמים חייבים גם ללחוץ לחץ רב יותר על ארה""ב וישראל כדי שהן יכירו בזכויות הפלשתינים "" , הוסיף יאסין "	 זכויות הפלסטינים 	18.0
"מועצת החכמים של ש""ס , בראשות הרב עובדיה יוסף שליט""א החליטה כי אלה יהיו שרי ש""ס בממשלת האחדות "	 מועצת החכמים 	4.0
"יו""ר ש""ס ח""כ אלי ישי אמר בתום הפגישה שהתקיימה בבית הרב יוסף בירושלים , כי מי שנבחר "" הם אנשים מוכשרים ומוצלחים , ויהיו המובילים בממשלה "	 בית הרב 	9.0
"מועצת החכמים של ש""ס גם החליטה על מינויו של משולם נהרי לתפקיד סגן שר החינוך , תפקיד אותו מילא גם בממשלת ברק עד לפרישתה של ש""ס מהממשלה "	 סגן השר 	9.0
"היועץ המשפטי לממשלה אליקים רובינשטיין החליט כי אין בחומר הראיות נגד ח""כ צחי הנגבי די הוכחות כדי להביא להרשעה ולכן הוחלט שלא להעמידו לדין "	 היועץ המשפטי 	18.0
"היועץ המשפטי לממשלה אליקים רובינשטיין החליט כי אין בחומר הראיות נגד ח""כ צחי הנגבי די הוכחות כדי להביא להרשעה ולכן הוחלט שלא להעמידו לדין "	 חומר הראיות 	18.0
לדברי רובינשטיין , התמונה שעלתה מהתיק הצדיקה פתיחה בחקירת משטרה והפרקליטות סברה כי יש מקום להגיש כתב - אישום , אך לאחר עיון מעמיק בתיק העריך היועץ המשפטי לממשלה כי אין סיכוי סביר להרשעה 	 חקירת משטרה 	9.0
לדברי רובינשטיין , התמונה שעלתה מהתיק הצדיקה פתיחה בחקירת משטרה והפרקליטות סברה כי יש מקום להגיש כתב - אישום , אך לאחר עיון מעמיק בתיק העריך היועץ המשפטי לממשלה כי אין סיכוי סביר להרשעה 	 כתב אישום 	18.0
"יצוין כי ח""כ הנגבי נחשד בפרשת "" דרך צלחה "" בביצוע עבירות של מרמה והפרת אימונים בתאגיד , קבלת דבר במרמה , ורישום כוזב במסמכי תאגיד "	 מסמכי תאגיד 	9.0
"ועדת האתיקה של הכנסת החליטה במאי 1999 לנזוף בח""כ הנגבי ולהטיל עליו קנס של 2 חודשי משכורת בסך 50 אלף שקלים "	 ועדת האתיקה 	18.0
הנגבי טען , כי פעל לקידום עניין לגיטימי שאין בו משום ניגוד אינטרסים לתפקידו בכנסת 	 ניגוד אינטרסים 	2.0
"סגן נשיא ארה""ב ריצ'רד צ'ייני יצא היום בבוקר מבית החולים , לאחר שהרופאים קבעו כי לא סבל מהתקף לב חמישי "	" נשיא ארה""ב "	9.0
"סגן נשיא ארה""ב ריצ'רד צ'ייני יצא היום בבוקר מבית החולים , לאחר שהרופאים קבעו כי לא סבל מהתקף לב חמישי "	 ארצות הברית 	10.0
"סגן נשיא ארה""ב ריצ'רד צ'ייני יצא היום בבוקר מבית החולים , לאחר שהרופאים קבעו כי לא סבל מהתקף לב חמישי "	 בית החולים 	16.0
טיפול זה נעשה בעקבות התקף לב קל , הרביעי של צ'ייני בן ה - 60 מאז 1978 	 התקף הלב 	16.0
"לא הוטלו כל הגבלות על עבודתו של סגן הנשיא המתכנן לשוב לעבודה בהמשך השבוע "" , נאמר בהודעת הבית הלבן "	 המשך השבוע 	18.0
"בית משפט השלום בירושלים התיר לפרסום חלק מטענותיו של סוכן השב""כ הפרובוקטור אבישי רביב נגד מפעיליו , ונגד סוכנים אחרים של השב""כ "	" סוכן השב""כ "	12.0
"בית משפט השלום בירושלים התיר לפרסום חלק מטענותיו של סוכן השב""כ הפרובוקטור אבישי רביב נגד מפעיליו , ונגד סוכנים אחרים של השב""כ "	 שירות ביטחון 	18.0
"בעקבות בקשתו של יו""ר ההסתדרות עמיר פרץ חזרו עובדי רשות שדות התעופה לעבודתם "	 שדות התעופה 	12.0
""" צוות המשא ומתן נכשל בתפקידו , והעניק תיקים רבים מדי למפלגת העבודה "" , אמר בן צור  "	 מפלגת העבודה 	16.0
"צחי הנגבי יהיה השר לאיכות הסביבה וח""כ רובי ריבלין יהיה שר התקשורת חברי הכנסת ציפי ליבני ודני נווה מונו לשרים בלי תיק וח""כ דליה רבין פילוסוף תצטרף לממשלה כסיעת יחיד , ותקבל את תפקיד סגן שר הביטחון "	 איכות הסביבה 	18.0
"ראש אמ""ן האלוף עמוס מלכה אמר היום בישיבה של ועדת החוץ והביטחון של הכנסת כי בתקופה הקרובה צפויה עלייה ברמת האלימות  "	 ועדת החוץ 	18.0
"ביום שלישי עלו אלפי חניכים של תנועת הנוער "" בני עקיבא "" למצודת ביריה בגליל , כדי לציין את היאחזותה של המחלקה הדתית בפלמ""ח במצודה בתקופת המנדט הבריטי "	 תנועת הנוער 	12.0
בבית העלמין בנתניה הובאה אתמול למנוחות יבגניה מלכין , אשר נרצחה ביום ראשון בפיגוע בנתניה 	 בית העלמין 	16.0
יבגניה מלכין , שהייתה רופאת ילדים , התגוררה בבית אבות בנתניה 	 בית האבות 	16.0
נציבות המים : לקצץ נציבות המים בישראל ממליצה לאסור על השקיית גינות נוי פרטיות וציבוריות במשך שלוש שנים 	 נציבות המים 	18.0
נציבות המים : לקצץ נציבות המים בישראל ממליצה לאסור על השקיית גינות נוי פרטיות וציבוריות במשך שלוש שנים 	 גינות נוי 	16.0
זאת לנוכח מצוקת המים הקשה במדינה 	 מצוקת המים 	18.0
אי אפשר להמשיך ולדלדל את מקורות המים שלנו 	 מקורות המים 	7.0
טל הסביר כי החורף ירדו כמויות ממוצעות במישור החוף , והדרום קיבל אפילו יותר מהממוצע הרב שנתי , ואולם כמות הגשמים ביהודה ושומרון לא הכניסה די מים למקורות המים , ואגן ההיקוות של הכינרת יבש 	 כמות הגשמים 	20.0
טל הסביר כי החורף ירדו כמויות ממוצעות במישור החוף , והדרום קיבל אפילו יותר מהממוצע הרב שנתי , ואולם כמות הגשמים ביהודה ושומרון לא הכניסה די מים למקורות המים , ואגן ההיקוות של הכינרת יבש 	 אגן ההיקוות 	8.0
בחקלאות קיצצנו 50 אחוזים מהקצאות מים שפירים , ובקרוב אף נשלם לחקלאים תמורת אי שימוש במים 	 הקצאת המים 	18.0
""" עד היום הושקעו ברשויות המקומיות כתשעה מיליארד שקלים בגינון הציבורי "" , אמר בשיחה עם ערוץ 7 "	 מיליארד שקלים 	20.0
שאול ממליץ לעבור להשקיה בטפטוף , עם קוצבי מים 	 קוצב מים 	12.0
בהשקיה בטפטוף נחשבת השקיה של חמישה ליטרים ביום להשקיה בכמות רבה מאד , והמים מגיעים ישירות לבית השורשים 	 בית השורשים 	16.0
אפשר לחסוך מים גם כאשר משקים את הדשא בהמטרה , ולהקפיד שהמים לא ישקו את שולי הדשא ואת המדרכות  	 שולי הדשא 	10.0
באמצעות הסברה נכונה אפשר לשנות את שיטות ההשקיה שהציבור רגיל בהן , סבור שאול 	 שיטות ההשקיה 	16.0
